"case_id","fault_terminal","component_type","supply_mode","current_level","service_years","vent_state","door_state","current_profile","ambient_temp","severity","seed"
"CASE_00132","KM1_DC","contactor_dc_terminal","DC","10.0","0.0","off","closed","constant","26.0","0.75","132002"
"CASE_00133","KM1_DC","contactor_dc_terminal","DC","10.0","5.0","normal","closed","constant","26.0","0.75","133000"
"CASE_00134","KM1_DC","contactor_dc_terminal","DC","10.0","5.0","normal","closed","constant","26.0","0.75","134001"
"CASE_00135","KM1_DC","contactor_dc_terminal","DC","10.0","5.0","normal","closed","constant","26.0","0.75","135002"
"CASE_00136","KM1_DC","contactor_dc_terminal","DC","10.0","5.0","reduced","closed","constant","26.0","0.75","136000"
"CASE_00137","KM1_DC","contactor_dc_terminal","DC","10.0","5.0","reduced","closed","constant","26.0","0.75","137001"
"CASE_00138","KM1_DC","contactor_dc_terminal","DC","10.0","5.0","reduced","closed","constant","26.0","0.75","138002"
"CASE_00139","KM1_DC","contactor_dc_terminal","DC","10.0","5.0","forced","closed","constant","26.0","0.75","139000"
"CASE_00140","KM1_DC","contactor_dc_terminal","DC","10.0","5.0","forced","closed","constant","26.0","0.75","140001"
"CASE_00141","KM1_DC","contactor_dc_terminal","DC","10.0","5.0","forced","closed","constant","26.0","0.75","141002"
"CASE_00142","KM1_DC","contactor_dc_terminal","DC","10.0","5.0","off","closed","constant","26.0","0.75","142000"
"CASE_00143","KM1_DC","contactor_dc_terminal","DC","10.0","5.0","off","closed","constant","26.0","0.75","143001"
"CASE_00144","KM1_DC","contactor_dc_terminal","DC","10.0","5.0","off","closed","constant","26.0","0.75","144002"
"CASE_00145","KM1_DC","contactor_dc_terminal","DC","10.0","10.0","normal","closed","constant","26.0","0.75","145000"
"CASE_00146","KM1_DC","contactor_dc_terminal","DC","10.0","10.0","normal","closed","constant","26.0","0.75","146001"
"CASE_00147","KM1_DC","contactor_dc_terminal","DC","10.0","10.0","normal","closed","constant","26.0","0.75","147002"
"CASE_00148","KM1_DC","contactor_dc_terminal","DC","10.0","10.0","reduced","closed","constant","26.0","0.75","148000"
"CASE_00149","KM1_DC","contactor_dc_terminal","DC","10.0","10.0","reduced","closed","constant","26.0","0.75","149001"
"CASE_00150","KM1_DC","contactor_dc_terminal","DC","10.0","10.0","reduced","closed","constant","26.0","0.75","150002"
"CASE_00151","KM1_DC","contactor_dc_terminal","DC","10.0","10.0","forced","closed","constant","26.0","0.75","151000"
"CASE_00152","KM1_DC","contactor_dc_terminal","DC","10.0","10.0","forced","closed","constant","26.0","0.75","152001"
"CASE_00153","KM1_DC","contactor_dc_terminal","DC","10.0","10.0","forced","closed","constant","26.0","0.75","153002"
"CASE_00154","KM1_DC","contactor_dc_terminal","DC","10.0","10.0","off","closed","constant","26.0","0.75","154000"
"CASE_00155","KM1_DC","contactor_dc_terminal","DC","10.0","10.0","off","closed","constant","26.0","0.75","155001"
"CASE_00156","KM1_DC","contactor_dc_terminal","DC","10.0","10.0","off","closed","constant","26.0","0.75","156002"
"CASE_00157","KM1_DC","contactor_dc_terminal","DC","10.0","20.0","normal","closed","constant","26.0","0.75","157000"
"CASE_00158","KM1_DC","contactor_dc_terminal","DC","10.0","20.0","normal","closed","constant","26.0","0.75","158001"
"CASE_00159","KM1_DC","contactor_dc_terminal","DC","10.0","20.0","normal","closed","constant","26.0","0.75","159002"
"CASE_00160","KM1_DC","contactor_dc_terminal","DC","10.0","20.0","reduced","closed","constant","26.0","0.75","160000"
"CASE_00161","KM1_DC","contactor_dc_terminal","DC","10.0","20.0","reduced","closed","constant","26.0","0.75","161001"
"CASE_00162","KM1_DC","contactor_dc_terminal","DC","10.0","20.0","reduced","closed","constant","26.0","0.75","162002"
"CASE_00163","KM1_DC","contactor_dc_terminal","DC","10.0","20.0","forced","closed","constant","26.0","0.75","163000"
"CASE_00164","KM1_DC","contactor_dc_terminal","DC","10.0","20.0","forced","closed","constant","26.0","0.75","164001"
"CASE_00165","KM1_DC","contactor_dc_terminal","DC","10.0","20.0","forced","closed","constant","26.0","0.75","165002"
"CASE_00166","KM1_DC","contactor_dc_terminal","DC","10.0","20.0","off","closed","constant","26.0","0.75","166000"
"CASE_00167","KM1_DC","contactor_dc_terminal","DC","10.0","20.0","off","closed","constant","26.0","0.75","167001"
"CASE_00168","KM1_DC","contactor_dc_terminal","DC","10.0","20.0","off","closed","constant","26.0","0.75","168002"
"CASE_00169","KM1_DC","contactor_dc_terminal","DC","10.0","30.0","normal","closed","constant","26.0","0.75","169000"
"CASE_00170","KM1_DC","contactor_dc_terminal","DC","10.0","30.0","normal","closed","constant","26.0","0.75","170001"
"CASE_00171","KM1_DC","contactor_dc_terminal","DC","10.0","30.0","normal","closed","constant","26.0","0.75","171002"
"CASE_00172","KM1_DC","contactor_dc_terminal","DC","10.0","30.0","reduced","closed","constant","26.0","0.75","172000"
"CASE_00173","KM1_DC","contactor_dc_terminal","DC","10.0","30.0","reduced","closed","constant","26.0","0.75","173001"
"CASE_00174","KM1_DC","contactor_dc_terminal","DC","10.0","30.0","reduced","closed","constant","26.0","0.75","174002"
"CASE_00175","KM1_DC","contactor_dc_terminal","DC","10.0","30.0","forced","closed","constant","26.0","0.75","175000"
"CASE_00176","KM1_DC","contactor_dc_terminal","DC","10.0","30.0","forced","closed","constant","26.0","0.75","176001"
"CASE_00177","KM1_DC","contactor_dc_terminal","DC","10.0","30.0","forced","closed","constant","26.0","0.75","177002"
"CASE_00178","KM1_DC","contactor_dc_terminal","DC","10.0","30.0","off","closed","constant","26.0","0.75","178000"
"CASE_00179","KM1_DC","contactor_dc_terminal","DC","10.0","30.0","off","closed","constant","26.0","0.75","179001"
"CASE_00180","KM1_DC","contactor_dc_terminal","DC","10.0","30.0","off","closed","constant","26.0","0.75","180002"
"CASE_00181","KM1_DC","contactor_dc_terminal","DC","15.0","0.0","normal","closed","constant","26.0","0.75","181000"
"CASE_00182","KM1_DC","contactor_dc_terminal","DC","15.0","0.0","normal","closed","constant","26.0","0.75","182001"
"CASE_00183","KM1_DC","contactor_dc_terminal","DC","15.0","0.0","normal","closed","constant","26.0","0.75","183002"
"CASE_00184","KM1_DC","contactor_dc_terminal","DC","15.0","0.0","reduced","closed","constant","26.0","0.75","184000"
"CASE_00185","KM1_DC","contactor_dc_terminal","DC","15.0","0.0","reduced","closed","constant","26.0","0.75","185001"
"CASE_00186","KM1_DC","contactor_dc_terminal","DC","15.0","0.0","reduced","closed","constant","26.0","0.75","186002"
"CASE_00187","KM1_DC","contactor_dc_terminal","DC","15.0","0.0","forced","closed","constant","26.0","0.75","187000"
"CASE_00188","KM1_DC","contactor_dc_terminal","DC","15.0","0.0","forced","closed","constant","26.0","0.75","188001"
"CASE_00189","KM1_DC","contactor_dc_terminal","DC","15.0","0.0","forced","closed","constant","26.0","0.75","189002"
"CASE_00190","KM1_DC","contactor_dc_terminal","DC","15.0","0.0","off","closed","constant","26.0","0.75","190000"
"CASE_00191","KM1_DC","contactor_dc_terminal","DC","15.0","0.0","off","closed","constant","26.0","0.75","191001"
"CASE_00192","KM1_DC","contactor_dc_terminal","DC","15.0","0.0","off","closed","constant","26.0","0.75","192002"
"CASE_00193","KM1_DC","contactor_dc_terminal","DC","15.0","5.0","normal","closed","constant","26.0","0.75","193000"
"CASE_00194","KM1_DC","contactor_dc_terminal","DC","15.0","5.0","normal","closed","constant","26.0","0.75","194001"
"CASE_00195","KM1_DC","contactor_dc_terminal","DC","15.0","5.0","normal","closed","constant","26.0","0.75","195002"
"CASE_00196","KM1_DC","contactor_dc_terminal","DC","15.0","5.0","reduced","closed","constant","26.0","0.75","196000"
"CASE_00197","KM1_DC","contactor_dc_terminal","DC","15.0","5.0","reduced","closed","constant","26.0","0.75","197001"
"CASE_00198","KM1_DC","contactor_dc_terminal","DC","15.0","5.0","reduced","closed","constant","26.0","0.75","198002"
"CASE_00199","KM1_DC","contactor_dc_terminal","DC","15.0","5.0","forced","closed","constant","26.0","0.75","199000"
"CASE_00200","KM1_DC","contactor_dc_terminal","DC","15.0","5.0","forced","closed","constant","26.0","0.75","200001"
"CASE_00201","KM1_DC","contactor_dc_terminal","DC","15.0","5.0","forced","closed","constant","26.0","0.75","201002"
